portal,portal_property_id,url,canonical_url,title,price,currency,expenses,expenses_currency,address,neighborhood,publisher_name,covered_area,semi_covered_area,total_area,rooms,bedrooms,bathrooms,age,parking_count,condition,orientation,floor,amenities,publication_date,description,detail_fetched,raw_data
demo-a,demo-00000,https://demo-a.example/aviso/demo-00000,https://demo-a.example/aviso/demo-00000,Departamento 5 ambientes en Palermo,589000,USD,,,"Scalabrini Ortiz 1103, Piso 7","Palermo, Capital Federal",Belgrano Brokers,187.1,,187.1,5,4,1,,0,Bueno,Interno,7,"seguridad 24 h, laundry",2026-09-12,"Departamento de 5 ambientes en pleno corazón de Palermo, sobre la avenida Scalabrini Ortiz al 1100. Un piso 7 con una vista que se disfruta, y eso que es una unidad interna, así que se mantiene lejos del ruido de la calle. Son 187 metros cuadrados cubiertos, con una distribución muy aprovechable: 4 dormitorios, ideal para familias que necesiten espacio o para armar un home office sin sacrificar el cuarto principal, y un baño de los de antes, con buen metraje.

El edificio cuenta con seguridad 24 horas y laundry, así que la parte práctica está resuelta. El departamento está en buen estado general, con la estructura sólida y terminaciones que se pueden ir actualizando de a poco. No tiene cochera, pero al estar sobre Scalabrini Ortiz tenés de soja para moverte, y en la zona no te sobra pero te alcanza para encontrar estacionamiento a la vuelta si te manejás con paciencia.

Se acepta permuta, o bien financiación en cuotas. Apto para crédito, y una oportunidad real para quien busque un piso grande en una de las mejores zonas de la Ciudad. Consultanos.",true,"{""sintetico"": true, ""caso"": ""permuta"", ""duplicado_de"": null}"
demo-b,demo-00001,https://demo-b.example/aviso/demo-00001,https://demo-b.example/aviso/demo-00001,Departamento 3 ambientes en Palermo,246000,USD,380000,ARS,"Serrano 1253, Piso 8","Palermo, Capital Federal",Belgrano Brokers,70.1,3,73.1,3,2,1,,0,Excelente,Contrafrente,8,"laundry, pileta, solarium",2026-05-19,"Departamento de tres ambientes en Serrano al 1200, pleno Palermo. Son dos dormitorios con un baño completo, todo en excelente estado y listo para entrar. La distribución es al contrafrente, lo que le da una tranquilidad única en la zona. Tiene 70 m² cubiertos más un balcón terraza de 3 m² que suma un lindo espacio al aire libre. Sin cochera, pero el edificio cuenta con laundry, pileta y solarium para disfrutar. Ideal para quienes buscan un dos ambientes funcional con buena luminosidad y privacidad.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00002,https://demo-a.example/aviso/demo-00002,https://demo-a.example/aviso/demo-00002,Departamento 5 ambientes en Belgrano,706000,USD,235000,ARS,Conde 2356,"Belgrano, Capital Federal",Belgrano Brokers,176.3,8,184.3,5,4,3,20,0,Excelente,Contrafrente,1,,2026-07-17,"Departamento de 5 ambientes en el corazón de Belgrano, sobre la calle Conde al 2300. Se trata de un piso 1 con una distribución muy bien lograda, ideal para quien busca espacios amplios y luminosos sin renunciar a la zona. Son 176 m² cubiertos más 8 m² de balcón/terraza, que invitan a despegarse del ruido y sumar un aire libre en plena ciudad. Al contrafrente, el silencio es un gran aliado: se duerme sin molestias y se trabaja con tranquilidad, algo difícil de encontrar en esta zona tan comercial.

Son 4 dormitorios y 3 baños, pensados para una familia grande o para armar un home office con total comodidad. El edificio tiene 20 años de antigüedad, lo que habla de una construcción firme y con buena calidad en sus materiales. Los ambientes son de linda proporción y el detalle del balcón le da un plus a los dormitorios principales. Sin cochera ni amenities, el gasto mensual se mantiene acotado, algo muy valorado en un edificio de esas características. Una oportunidad para meterse en Belgrano sin pagar el precio de las torres nuevas.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00003,https://demo-b.example/aviso/demo-00003,https://demo-b.example/aviso/demo-00003,Departamento 4 ambientes en Belgrano,482000,USD,518000,ARS,Echeverría 3891,"Belgrano, Capital Federal",Mirador Propiedades,149.4,,149.4,,,,,,,,,,2026-05-31,"Departamento de 4 ambientes en Belgrano, sobre Echeverría al 3800. Al frente, en un piso 6 con ascensor, con 149 m² cubiertos y una distribución muy funcional: 3 dormitorios, 2 baños y living comedor amplio. Tiene 20 años de antigüedad y se destaca por su luz natural al estar al frente. Sin cochera y sin amenities, ideal para quien busca un clásico de buen aprovechamiento en una zona consolidada.

A pasos de los bares y comercios de Echeverría, con buena conectividad y cerca de verdes espacios del barrio. Una linda oportunidad para vivir en Belgrano.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00004,https://demo-a.example/aviso/demo-00004,https://demo-a.example/aviso/demo-00004,Departamento 4 ambientes en Palermo,415000,USD,490000,ARS,Costa Rica 342,"Palermo, Capital Federal",Inmobiliaria del Parque,93.9,3,96.9,,,,,,,,,"seguridad 24 h, gimnasio",2026-06-25,"Departamento de 4 ambientes en pleno Palermo, sobre la calle Costa Rica al 300, a estrenar y en muy buen estado. Se trata de una unidad interna en el piso 8, con 94 m2 cubiertos más 3 m2 de balcón terraza, ideal para quienes buscan luminosidad y silencio en una de las zonas más buscadas de la ciudad. Los 3 dormitorios son amplios y los 3 baños, todos en perfectas condiciones, hacen que la distribución sea cómoda y aprovechable. La seguridad 24 horas y el gimnasio suman un plus para el día a día, pensado para quienes valoran la practicidad sin resignar comodidad. La orientación y la disposición de los ambientes le dan una muy buena sensación de espacio, y al ser una unidad interna en un piso alto, se disfruta de una vista despejada y mucha tranquilidad.

La propiedad está impecable, lista para habitar, y se destaca por su estado general: terminaciones cuidadas y un diseño pensado para que no haya que tocar nada. Al ser a estrenar, la entrega es inmediata y sin sorpresas. El edificio cuenta con seguridad las 24 horas, así que la zona común es un plus para tu tranquilidad. Si buscás un departamento canchero, con buena onda de Palermo pero sin el ruido de la calle, este es el indicado. Sin dudas, una oportunidad única para vivir en un lugar bien ubicado, con todo cerca y en un octavo piso que se siente privado.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00005,https://demo-b.example/aviso/demo-00005,https://demo-b.example/aviso/demo-00005,Departamento 2 ambientes en Palermo,204000,USD,471000,ARS,Cabello 5893,"Palermo, Capital Federal",Belgrano Brokers,50.5,5,55.5,,,,,,,,,"laundry, sum",2026-09-03,"Departamento en Cabello al 5800, pleno corazón de Palermo. Son 50 metros cuadrados cubiertos más 5 de balcón terraza, ideales para disfrutar al aire libre sin salir de casa. Cuenta con un dormitorio, un baño completo y un ambiente living comedor que se integran de forma funcional, todo en un solo nivel y con ascensor.

El edificio ofrece amenities pensados para la comodidad: lavadero común y SUM para reuniones o eventos. Incluye una cochera cubierta, un plus que en esta zona se valora particularmente. Una muy buena oportunidad para quienes buscan ubicación y servicios en uno de los barrios más buscados de la Ciudad.",false,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00006,https://demo-a.example/aviso/demo-00006,https://demo-a.example/aviso/demo-00006,Departamento 1 ambientes en Belgrano,168000,USD,426000,ARS,"Olazábal 4534, Piso 7","Belgrano, Capital Federal",Mirador Propiedades,33.3,,33.3,1,0,1,0,1,A Estrenar,Frente,7,,2026-06-24,"Departamento a estrenar en pleno Belgrano, sobre Olazábal al 4500, una zona que combina la tranquilidad residencial con la cercanía a los bares y comercios de la Av. Cabildo. Se trata de un luminoso ambiente al frente, ideal para quienes buscan su primer hogar o una inversión segura en una de las mejores ubicaciones de la Ciudad. Con 33 m² cubiertos, el layout está muy bien aprovechado: living comedor integrado, cocina equipada y baño completo. Además, incluye cochera propia, un lujo que escasea en la zona y que suma muchísimo valor.

Al ser un edificio a estrenar, sin amenities, se destaca por su bajo costo de mantenimiento. El detalle es que es sin ascensor, algo típico de las construcciones de pocos pisos en el barrio, pero que no resta comodidad. La entrega estimada está pautada para los próximos meses, y las fotos que ves son del modelo de exhibición, no del departamento real. Es una oportunidad única para mudarse a un 1 ambiente moderno, con buena orientación al frente y en pleno crecimiento. Consultá por este desarrollo en construcción, ideal para vivir solo o alquilar.",true,"{""sintetico"": true, ""caso"": ""pozo"", ""duplicado_de"": null}"
demo-a,demo-00007,https://demo-a.example/aviso/demo-00007,https://demo-a.example/aviso/demo-00007,Departamento 4 ambientes en Belgrano,469000,USD,,,"Zapiola 1794, Piso 7","Belgrano, Capital Federal",Grupo Arcos,107.2,,107.2,4,3,2,,0,Excelente,,7,"solarium, laundry, gimnasio",2026-06-08,"Departamento de 4 ambientes en pleno Belgrano, sobre Zapiola al 1700, a metros de todo pero en una zona tranquila y arbolada. Se trata de un piso 7 con ascensor, luminoso y con una muy buena distribución para aprovechar cada metro de sus 107 m² cubiertos. Al entrar, el living comedor se despega de la zona de dormitorios, lo que da privacidad: son tres dormitorios, dos de ellos amplios y con placares, y dos baños completos. La cocina, con dependencia de servicio, es cómoda y funcional.

El edificio cuenta con amenities que se agradecen: solarium para tomar aire sin salir de casa, laundry y un gimnasio equipado para no abandonar la rutina. Está en excelente estado, listo para mudarse y ponerle el toque personal. Sin cochera, pero con la suerte de tener a dos pasos colegios, plazas, subte y los comercios de la avenida. Ideal para quienes buscan un departamento bien puesto, en un piso alto y con todo el confort de un edificio moderno. Una oportunidad concreta para vivir en uno de los barrios más lindos de la ciudad.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-b,demo-00008,https://demo-b.example/aviso/demo-00008,https://demo-b.example/aviso/demo-00008,Departamento 3 ambientes en Palermo,365000,USD,221000,ARS,"Honduras 2684, Piso 9","Palermo, Capital Federal",Norte Propiedades,62.6,,62.6,3,2,1,0,0,Excelente,,9,,2026-08-01,"Departamento de 3 ambientes en Palermo, sobre Honduras al 2600, con 63 m² cubiertos. Es a estrenar, en excelente estado, y cuenta con ascensor. Dispone de dos dormitorios, un baño completo y espacios bien distribuidos. Ideal para quienes buscan un hogar moderno en una de las zonas más buscadas de la ciudad, sin cochera ni amenities, pero con todo lo necesario para vivir cómodamente. Una oportunidad única en pleno corazón de Palermo.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
demo-a,demo-00009,https://demo-a.example/aviso/demo-00009,https://demo-a.example/aviso/demo-00009,Departamento 3 ambientes en Palermo,401000,USD,478000,ARS,Nicaragua 3365,"Palermo, Capital Federal",Mirador Propiedades,78.1,12,90.1,3,2,1,,0,Excelente,,9,seguridad 24 h,2026-07-18,"Departamento de 3 ambientes en Palermo, Nicaragua al 3300, con 78 m² cubiertos más 12 m² de balcón terraza. Se trata de un piso 9 en excelente estado, con dos dormitorios, un baño completo y una distribución muy funcional. El edificio cuenta con seguridad las 24 horas, ideal para quienes buscan tranquilidad en una zona llena de vida. Sin cochera, pero con fácil acceso a transporte y servicios. Una oportunidad para disfrutar de un hogar cuidado y bien ubicado en el corazón de Palermo.",true,"{""sintetico"": true, ""caso"": null, ""duplicado_de"": null}"
